waveData1,waveData2,waveData3,waveData4,waveData5,waveData6,waveData7,waveData8,waveData9,waveData10,waveData11,waveData12,waveData13,waveData14,waveData15,waveData16,waveData17
3,0.433469145,0.188955106,0.071008207,0.062794999,14.75,7.375,4.916666667,2.107142857,2.681818182,-0.01169964,-0.034531226,0.247389852,0.066666667,B04_Colony_8.xlsx,-0.446573814,3.663604497
4,0.401643974,0.168709097,0.146949584,0.118614257,15.16666667,7.583333333,5.055555556,3.791666667,2.166666667,0.00019162,-0.004590598,0.118476297,0.065217391,C04_Colony_10.xlsx,-0.096673991,3.578723545
4,0.164538897,0.13407617,0.069376877,0.037408204,16.25,8.125,4.642857143,2.5,1.625,-0.008768271,-0.052698621,0.045834753,0.045454545,C04_Colony_17.xlsx,0.934663281,3.911243386
3,0.487185059,0.398607138,0.251306372,0.159175954,15.83333333,7.916666667,4.75,3.653846154,2.065217391,-0.000718467,-0.068650456,0.191447502,0.041666667,C04_Colony_18.xlsx,0.997521803,2.927308201
3,0.369851598,0.12870542,0.127074412,0.109514142,15.83333333,5.9375,3.653846154,3.166666667,2.159090909,-0.001925743,-0.005627647,0.174374729,0.052083333,C04_Colony_19.xlsx,-0.701927093,3.757466931
4,0.085645224,0.034183102,0.033648265,0.029478414,15.83333333,7.916666667,3.653846154,2.638888889,3.166666667,-8.32E-05,0.012647007,0.049002405,0.052083333,C04_Colony_22.xlsx,0.202693206,3.943055556
3,0.620738299,0.176875234,0.059543943,0.041426071,15.83333333,7.916666667,5.9375,3.392857143,2.375,-0.001155894,-0.036401085,0.327856975,0.052083333,C04_Colony_25.xlsx,0.185658066,3.414861111
3,0.228928613,0.156111546,0.121471663,0.05619832,12.75,5.1,3.642857143,2.125,1.821428571,-0.010395476,-0.021391212,0.200613829,0.057692308,C04_Colony_5.xlsx,-0.057234048,3.925694444
2,0.347266615,0.332162184,0.274462833,0.268983249,7.916666667,5.277777778,2.638888889,3.958333333,3.392857143,-0.001416228,0.398746522,0.116106339,0.072916667,C04_Colony_6.xlsx,-0.515026336,2.694332011
4,0.178973881,0.170717096,0.062598945,0.061512069,15.83333333,6.785714286,4.75,2.375,3.166666667,-0.003737958,0.044892316,0.048230013,0.0625,C04_Colony_7.xlsx,0.427439998,3.955
4,0.157242967,0.12572785,0.087331998,0.075010299,15.83333333,5.277777778,7.916666667,2.375,3.958333333,-0.00498917,-0.000335186,0.084759846,0.0625,C04_Colony_9.xlsx,-0.468916843,3.87172619
4,0.159645674,0.04227982,0.036024994,0.032482517,16.75,4.1875,2.09375,1.763157895,2.392857143,-0.008989264,0.004682845,0.05118242,0.073529412,D04_Colony_15.xlsx,0.130134385,3.806428571
4,0.221978808,0.219985193,0.195370791,0.173748824,15.83333333,6.785714286,3.392857143,5.277777778,3.958333333,-0.006504777,0.012609992,0.102067828,0.052083333,D04_Colony_17.xlsx,0.746893632,3.645654762
4,0.317351155,0.179223148,0.174703452,0.109745666,15.83333333,7.916666667,3.653846154,4.75,3.166666667,0.006686719,0.154196631,0.14557804,0.072916667,D04_Colony_18.xlsx,0.897951093,3.884490741
1,0.64424144,0.308862453,0.212615266,0.190658689,23.75,9.5,5.9375,3.392857143,2.375,-0.005065983,0.009844311,0.155694307,0.041666667,D04_Colony_19.xlsx,0.011010316,2.640416667
4,0.171559729,0.135395347,0.132594502,0.12139047,15.83333333,3.653846154,2.5,4.75,2.065217391,0.00278927,0.177844805,0.098700277,0.072916667,D04_Colony_20.xlsx,-0.003110223,3.852162698
3,0.345602053,0.263285458,0.129182055,0.11810577,15.83333333,9.5,5.9375,4.75,2.638888889,-0.0077482,0.003255566,0.13206217,0.052083333,D04_Colony_23.xlsx,0.825428082,3.856375661
3,0.438771573,0.232239098,0.19467518,0.125564358,18.75,7.5,4.6875,3.125,2.5,-0.001868381,0.001643136,0.140037484,0.052631579,D04_Colony_25.xlsx,0.00892853,3.400343915
4,0.251444258,0.106817725,0.095118714,0.089139738,15.83333333,7.916666667,3.392857143,5.277777778,4.318181818,3.01E-05,-0.011914105,0.046538876,0.0625,D04_Colony_4.xlsx,0.193957505,3.938472222
2,0.579778158,0.261484246,0.242147467,0.157754342,15.83333333,9.5,6.785714286,4.318181818,2.638888889,-0.001073008,0.05446508,0.05005664,0.052083333,D04_Colony_7.xlsx,0.0003078,2.977136243
3,0.17478835,0.166978247,0.143821787,0.123181241,15.83333333,5.9375,2.5,3.392857143,4.318181818,0.004399686,-0.04443252,0.135556136,0.0625,D04_Colony_9.xlsx,-0.124191441,3.820833333
2,0.476731343,0.17663995,0.103507465,0.070029734,8.166666667,4.9,2.722222222,2.227272727,1.441176471,0.080563211,0.585151865,0.092538539,0.06,E04_Colony_10.xlsx,0.118932373,3.113981481
3,0.268809404,0.19705992,0.140925035,0.122409973,15.83333333,2.96875,3.958333333,1.979166667,4.75,0.001171224,0.049625305,0.079599084,0.052083333,E04_Colony_11.xlsx,0.075498945,3.873412698
2,0.327698734,0.220090791,0.160724682,0.134948757,15.83333333,7.916666667,4.75,2.96875,3.392857143,-0.002800376,-0.287560789,0.091002691,0.052083333,E04_Colony_13.xlsx,-0.012681084,3.884107143
4,0.159074092,0.077078949,0.04127737,0.026880579,15.83333333,6.785714286,4.75,3.166666667,1.826923077,0.000311956,0.019458188,0.051186316,0.0625,E04_Colony_16.xlsx,0.222410618,3.943055556
4,0.574594016,0.242874629,0.186830835,0.176009047,15.83333333,9.5,5.277777778,3.958333333,3.166666667,0.003561139,0.027834796,0.058475651,0.041666667,E04_Colony_7.xlsx,0.022104512,2.819993386
4,0.67462652,0.313975213,0.161181271,0.126169198,18.25,6.083333333,3.65,2.807692308,2.147058824,-0.006963706,-0.026989487,0.065225154,0.054054054,E04_Colony_8.xlsx,0.041056845,2.938544974
